,What happened?,Where is the delay?,Where is the construction?,Where is the incident?,Where is the event?,Where is the closure?,Cleared or Updated?
906,Construction on VerrazanonarrowsBridge WB,,VerrazanonarrowsBridge WB,,,,Cleared
907,Construction on UnionTurnpike WB from Park Drive to Queens Boulevard,,from Park Drive to Queens Boulevard,Construction on UnionTurnpike WB from Park Drive to Queens Boulevard,UnionTurnpike WB from Park Drive to Queens Boulevard,,Updated
908,Construction on GrandCentralParkway WB from Union Turnpike to Transit Authority Bridge,,GrandCentralParkway WB from Union Turnpike to Transit Authority Bridge,,GrandCentralParkway WB from Union Turnpike to Transit Authority Bridge,,Updated
909,Incident on GeorgeWashingtonBridge WB at New York Side/Lower Level,,,GeorgeWashingtonBridge WB at New York Side/Lower Level,New York Side/Lower Level,,Updated
910,Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level,,,GeorgeWashingtonBridge WB at New York Side/Upper Level,New York Side/Upper Level,,Updated
911,Cleared: Incident on BrooklynBridge EB at Brooklyn Side,,,BrooklynBridge EB,BrooklynBridge EB at Brooklyn Side,,Cleared
912,Incident on GeorgeWashingtonBridge WB at New York Side/Lower Level,,,GeorgeWashingtonBridge WB at New York Side/Lower Level,New York Side/Lower Level,,
913,Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level,,,GeorgeWashingtonBridge WB at New York Side/Upper Level,New York Side/Upper Level,,
914,Cleared: Incident on LincolnTunnel WB at New York,,,LincolnTunnel WB at New York,LincolnTunnel WB at New York,,Cleared
915,Incident on LincolnTunnel WB at New York,,,LincolnTunnel WB at New York,New York,,Updated
916,Incident on BrooklynBridge EB,,,BrooklynBridge EB at Brooklyn Side,BrooklynBridge EB at Brooklyn Side,,
917,Incident on QueensMidtownTunnel at Manhattan Bound,,,QueensMidtownTunnel at Manhattan Bound,QueensMidtownTunnel at Manhattan Bound,,Cleared
918,Construction on BrucknerBoulevard WB from Evergreen Avenue to Close Avenue,,Evergreen Avenue to Close Avenue,,Evergreen Avenue to Close Avenue,Close Avenue,Updated
919,Incident on LincolnTunnel WB at New York,,,LincolnTunnel WB at New York,New York,,
920,Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level,,,GeorgeWashingtonBridge WB at New York Side/Upper Level,GeorgeWashingtonBridge WB at New York Side/Upper Level,,Cleared
921,Special Event on AtlanticCitybrigantineConnector Both directions at Atlantic City Expressway,,Atlantic City Expressway,Atlantic City Expressway,AtlanticCitybrigantineConnector Both directions at Atlantic City Expressway,,Atlantic City Expressway
922,Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level,,,GeorgeWashingtonBridge WB at New York Side/Upper Level,New York Side/Upper Level,,
923,Incident on GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,,,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,,
924,Incident on QueensMidtownTunnel at Manhattan Bound,,,QueensMidtownTunnel at Manhattan Bound,Incident on QueensMidtownTunnel at Manhattan Bound,,
925,Cleared: Incident on GeorgeWashingtonBridge EB at Mid-Span/Upper Level,,,GeorgeWashingtonBridge EB at Mid-Span/Upper Level,GeorgeWashingtonBridge EB at Mid-Span/Upper Level,,Cleared
926,Incident on GeorgeWashingtonBridge EB at Mid-Span/Upper Level,,,GeorgeWashingtonBridge EB at Mid-Span/Upper Level,GeorgeWashingtonBridge EB at Mid-Span/Upper Level,,Updated
927,Incident on GeorgeWashingtonBridge EB at Mid-Span/Upper Level,,,GeorgeWashingtonBridge EB at Mid-Span/Upper Level,GeorgeWashingtonBridge EB at Mid-Span/Upper Level,,
928,Construction on BronxRiverParkway,Construction on BronxRiverParkway NB from START ROUTE Bronx River Parkway; Story Avenue,BronxRiverParkway,Bronx River Parkway,BronxRiverParkway NB from START ROUTE Bronx River Parkway,,Updated
929,Incident on LincolnTunnel EB from New Jersey Side - South Tube to New York Side - South Tube,,,LincolnTunnel EB,LincolnTunnel EB,,Cleared
930,Cleared: Incident on RFKTriboroughBridge WB,,,RFKTriboroughBridge WB,RFKTriboroughBridge WB,,Cleared
931,Construction on SawMillRiverParkway NB from START ROUTE Saw Mill River Parkway,,SawMillRiverParkway,,SawMillRiverParkway NB from START ROUTE Saw Mill River Parkway,,Updated
932,Construction on SawMillRiverParkway NB from START ROUTE Saw Mill River Parkway; Bronx-Westchester County Line,,SawMillRiverParkway NB,Bronx-Westchester County Line,Bronx-Westchester County Line,,
933,Incident on LincolnTunnel EB from New Jersey Side - South Tube to New York Side - South Tube,,,LincolnTunnel EB,LincolnTunnel EB from New Jersey Side - South Tube to New York Side - South Tube,,Updated
934,Construction on GeorgeWashingtonBridge EB from New York Side/Lower Level to Lower Trans Manhattan Expressway,,GeorgeWashingtonBridge EB,Construction on GeorgeWashingtonBridge EB from New York Side/Lower Level to Lower Trans Manhattan Expressway,Construction on GeorgeWashingtonBridge EB from New York Side/Lower Level to Lower Trans Manhattan Expressway,,
935,Incident on LincolnTunnel EB from New Jersey Side - South Tube to New York Side - South Tube,,,LincolnTunnel EB,LincolnTunnel EB,,
936,Construction on GrandCentralParkway WB from Main Street to Jackie Robinson Parkway,,GrandCentralParkway WB from Main Street to Jackie Robinson Parkway,,GrandCentralParkway WB from Main Street to Jackie Robinson Parkway,,
937,Incident on GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,,,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,,
938,Incident on GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,,,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,,
939,Incident on GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,,,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,,Updated
940,Construction on TaconicStateParkway SB at Lakeview Avenue,,Lakeview Avenue,,Lakeview Avenue,,
941,,,,SawMillRiverParkway SB at Ashford Avenue,SawMillRiverParkway SB at Ashford Avenue,,
942,Construction on TaconicStateParkway NB at Lakeview Avenue,,Lakeview Avenue,,Lakeview Avenue,,
943,Incident on RFKTriboroughBridge WB,,,Manhattan Span,Manhattan Span,,
944,Construction on MidHudsonBridge,,MidHudsonBridge,,Construction on MidHudsonBridge,,
945,Construction,Construction on WestchesterAvenue WB from Kenilworth Road to Bryant Avenue,from Kenilworth Road to Bryant Avenue,Construction on WestchesterAvenue WB from Kenilworth Road to Bryant Avenue,Kenilworth Road to Bryant Avenue,,
946,Construction on KingstonrhinecliffBridge,,KingstonrhinecliffBridge,,Construction on KingstonrhinecliffBridge,,
947,Incident on HavenLine at Grand Central Terminal,,,Grand Central Terminal,Grand Central Terminal,,
948,Incident on NewLine NB at Grand Central Terminal,,,Grand Central Terminal,Grand Central Terminal,,
949,Construction on GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower Level,,GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower Level,Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,,
950,Construction on GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to Henry Hudson Parkway,,GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to Henry Hudson Parkway,Construction on GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to Henry Hudson Parkway,Lower Trans Manhattan Expressway to Henry Hudson Parkway,,
951,,,,JSQLine Both directions,JSQLine Both directions,,
952,,,,ToLine,Incident on ToLine,,
953,Incident on HudsonLine NB at Grand Central Terminal,,,Grand Central Terminal,Grand Central Terminal,,
954,Special Event on NJPerformingArtsCenter at Victoria Theater,,,Victoria Theater,Victoria Theater,,Updated
955,Incident on TaconicStateParkway NB at Town of Ghent; Town of Austerlitz Line,,,Town of Ghent,Town of Ghent,,
956,Construction,,BayonneBridge SB at New York Side,New York Side,New York Side,,
957,Incident on PulaskiSkyway NB at Broadway,,,PulaskiSkyway NB at Broadway,PulaskiSkyway NB at Broadway,,Updated
958,Construction,,ThrogsNeckBridge SB at Queens Bound,Construction on ThrogsNeckBridge SB at Queens Bound,Queens Bound,,
959,Incident on HudsonLine NB at Grand Central Terminal,,,Grand Central Terminal,Grand Central Terminal,,
960,Incident on PulaskiSkyway NB at South Kearny,,,PulaskiSkyway NB at South Kearny,South Kearny,,Updated
961,Construction on GeorgeWashingtonBridge WB from New York Side/Upper Level to New Jersey Side/Upper Level,,GeorgeWashingtonBridge WB,,GeorgeWashingtonBridge WB from New York Side/Upper Level to New Jersey Side/Upper Level,,
962,Construction,,VerrazanonarrowsBridge WB at Staten Island Bound Upper Level,Staten Island Bound Upper Level,Staten Island Bound Upper Level,,
963,Construction,,VerrazanonarrowsBridge WB at Staten Island Bound Lower Level,Staten Island,Staten Island,,
964,Construction,,NewburghBeaconBridge WB from Dutchess County Side to Orange County Side,,Construction on NewburghBeaconBridge WB from Dutchess County Side to Orange County Side,,
965,Incident on GeorgeWashingtonBridge EB at New Jersey Side/Lower Level Toll Plaza,,,GeorgeWashingtonBridge EB at New Jersey Side/Lower Level Toll Plaza,GeorgeWashingtonBridge EB at New Jersey Side/Lower Level Toll Plaza,,Updated
966,Cleared: Incident on SprainBrookStateParkway SB at Bradhurst Avenue; Ramp,,,SprainBrookStateParkway SB at Bradhurst Avenue,SprainBrookStateParkway SB at Bradhurst Avenue,,Cleared
967,Incident on HollandTunnel EB at New Jersey,,,HollandTunnel EB at New Jersey,New Jersey,,Updated
968,Incident on LincolnTunnel EB,,,LincolnTunnel EB at from New Jersey,New Jersey,,Updated
969,Incident on PulaskiSkyway NB at Broadway,,PulaskiSkyway NB at Broadway,PulaskiSkyway NB at Broadway,PulaskiSkyway NB at Broadway,,
970,Incident on SprainBrookStateParkway SB at Bradhurst Avenue,,Bradhurst Avenue,SprainBrookStateParkway SB at Bradhurst Avenue,SprainBrookStateParkway SB at Bradhurst Avenue,,
971,Incident on GeorgeWashingtonBridge EB at New Jersey Side/Lower Level Toll Plaza,,,GeorgeWashingtonBridge EB at New Jersey Side/Lower Level Toll Plaza,GeorgeWashingtonBridge EB at New Jersey Side/Lower Level Toll Plaza,,Updated
972,Closure on BayardStreet EB from Baxter Street to Mott Street,BayardStreet EB from Baxter Street to Mott Street,,BayardStreet EB from Baxter Street to Mott Street,BayardStreet EB from Baxter Street to Mott Street,BayardStreet EB from Baxter Street to Mott Street,Updated
973,Closure on MulberryStreet NB from Worth Street to Canal Street,MulberryStreet NB from Worth Street to Canal Street,,Closure on MulberryStreet NB from Worth Street to Canal Street,Closure on MulberryStreet NB from Worth Street to Canal Street,MulberryStreet NB from Worth Street to Canal Street,Updated
974,Incident on GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,,,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,,Updated
975,Incident on HollandTunnel EB at New Jersey,,New Jersey,HollandTunnel EB at New Jersey,New Jersey,,
976,Incident on GeorgeWashingtonBridge EB at New Jersey Side/Lower Level Toll Plaza,,,GeorgeWashingtonBridge EB at New Jersey Side/Lower Level Toll Plaza,GeorgeWashingtonBridge EB at New Jersey Side/Lower Level Toll Plaza,,
977,Incident on LincolnTunnel EB,,,LincolnTunnel EB,LincolnTunnel EB,,
978,Incident on GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,,,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,,
979,Special Event,,BrooklynBatteryTunnel NB at Manhattan Bound,Manhattan Bound,Manhattan Bound,,
980,Special Event,,,Manhattan Bound,Manhattan Bound,,
981,Closure on QueensboroBridge EB at Queens Bound,,,Closure on QueensboroBridge EB at Queens Bound,Closure on QueensboroBridge EB at Queens Bound,QueensboroBridge EB at Queens Bound,Cleared
982,,,,Brooklyn Bound Upper Level,Brooklyn Bound Upper Level,,
983,Construction on UnionTurnpike WB from Park Drive to Queens Blvd,,UnionTurnpike WB from Park Drive to Queens Blvd,Construction on UnionTurnpike WB from Park Drive to Queens Blvd,Construction on UnionTurnpike WB from Park Drive to Queens Blvd,,Cleared
984,Closure on BrooklynBatteryTunnel,,,BrooklynBatteryTunnel,BrooklynBatteryTunnel,BrooklynBatteryTunnel,Cleared
985,Construction on LincolnTunnel WB from New York Side - North Tube to New Jersey Side - North Tube,,LincolnTunnel WB,,,,Cleared
986,Construction on PortNewarkElizabethMarineTerminal,,PortNewarkElizabethMarineTerminal,Construction on PortNewarkElizabethMarineTerminal,Construction on PortNewarkElizabethMarineTerminal,,Cleared
987,Construction on QueensMidtownTunnel Both directions,,QueensMidtownTunnel,Construction on QueensMidtownTunnel,Construction on QueensMidtownTunnel,,Cleared
988,Construction on LincolnTunnel WB from New York Side - North Tube to New Jersey Side - North Tube,,LincolnTunnel WB,,LincolnTunnel WB,,Updated
989,Incident on LincolnTunnel EB at from New Jersey,,,LincolnTunnel EB at from New Jersey,LincolnTunnel EB at from New Jersey,,Cleared
990,Closure on LincolnTunnel EB from New York Side - North Tube to New Jersey Side - North Tube,,,Closure on LincolnTunnel EB from New York Side - North Tube to New Jersey Side - North Tube,Closure on LincolnTunnel EB from New York Side - North Tube to New Jersey Side - North Tube,LincolnTunnel EB,Cleared
991,Closure on GeorgeWashingtonBridge WB from New York Side/Lower Level to New Jersey Side/Lower Level,,,GeorgeWashingtonBridge WB,GeorgeWashingtonBridge WB,GeorgeWashingtonBridge WB from New York Side/Lower Level to New Jersey Side/Lower Level,Cleared
992,Closure on GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower Level,,,GeorgeWashingtonBridge WB,GeorgeWashingtonBridge WB,GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower Level,Cleared
993,Construction on GeorgeWashingtonBridge WB at Lower Trans Manhattan Expressway,,GeorgeWashingtonBridge WB at Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,,Cleared
994,Construction on HollandTunnel EB from New Jersey Side - South Tube to New York Side - South Tube,,HollandTunnel EB,,,,Cleared
995,Construction on HollandTunnel WB from New York Side - North Tube to New Jersey Side - North Tube,,HollandTunnel WB,,,,Cleared
996,Construction on GeorgeWashingtonBridge EB at Lower Trans Manhattan Expressway,,GeorgeWashingtonBridge EB at Lower Trans Manhattan Expressway,Construction on GeorgeWashingtonBridge EB at Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,,Cleared
997,Construction on GeorgeWashingtonBridge EB at Upper Trans Manhattan Expressway,,GeorgeWashingtonBridge EB at Upper Trans Manhattan Expressway,Construction on GeorgeWashingtonBridge EB at Upper Trans Manhattan Expressway,Upper Trans Manhattan Expressway,,Cleared
998,Construction,QueensMidtownTunnel,QueensMidtownTunnel,QueensMidtownTunnel,QueensMidtownTunnel,,
999,Closure on BrooklynBatteryTunnel,,,BrooklynBatteryTunnel,BrooklynBatteryTunnel,BrooklynBatteryTunnel,
1000,Construction on HollandTunnel WB from New York Side - North Tube to New Jersey Side - North Tube,,HollandTunnel WB,,Construction on HollandTunnel WB from New York Side - North Tube to New Jersey Side - North Tube,,
1001,Incident on GeorgeWashingtonBridge WB at New York Side/Lower Level,,,GeorgeWashingtonBridge WB,GeorgeWashingtonBridge WB at New York Side/Lower Level,,Cleared
1002,Construction on GeorgeWashingtonBridge WB at Palisades Interstate Parkway Toll Plaza,,Palisades Interstate Parkway Toll Plaza,Palisades Interstate Parkway Toll Plaza,Palisades Interstate Parkway Toll Plaza,,
1003,Closure on GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower Level,Closure on GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower Level,,Lower Trans Manhattan Expressway to New York Side/Lower Level,Lower Trans Manhattan Expressway,GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower Level,Closure
1004,Closure on GeorgeWashingtonBridge WB from New York Side/Lower Level to New Jersey Side/Lower Level,,,GeorgeWashingtonBridge WB,New York Side/Lower Level to New Jersey Side/Lower Level,GeorgeWashingtonBridge WB from New York Side/Lower Level to New Jersey Side/Lower Level,
1005,Closure on LincolnTunnel EB from New York Side - North Tube to New Jersey Side - North Tube,LincolnTunnel EB from New York Side - North Tube to New Jersey Side - North Tube,,LincolnTunnel EB from New York Side - North Tube to New Jersey Side - North Tube,New York Side - North Tube to New Jersey Side - North Tube,LincolnTunnel EB from New York Side - North Tube to New Jersey Side - North Tube,Updated
1006,Closure on LincolnTunnel EB,LincolnTunnel EB,,Closure on LincolnTunnel EB,New York Side - North Tube to New Jersey Side - North Tube,LincolnTunnel EB,
1007,Construction on HollandTunnel EB from New Jersey Side - South Tube to New York Side - South Tube,,HollandTunnel EB,,Construction on HollandTunnel EB from New Jersey Side - South Tube to New York Side - South Tube,,
1008,Construction on GeorgeWashingtonBridge EB at Upper Trans Manhattan Expressway,,GeorgeWashingtonBridge EB at Upper Trans Manhattan Expressway,Construction on GeorgeWashingtonBridge EB at Upper Trans Manhattan Expressway,Upper Trans Manhattan Expressway,,
1009,Construction on GeorgeWashingtonBridge EB at Lower Trans Manhattan Expressway,,GeorgeWashingtonBridge EB at Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,,
1010,,,,,,NewJerseyTurnpikeEasternSpur NB,
1011,Closure on NewJerseyTurnpikeEasternSpur NB from North of Southern Mixing Bowl to South of Northern Mixing Bowl,,,Closure on NewJerseyTurnpikeEasternSpur NB,Closure on NewJerseyTurnpikeEasternSpur NB from North of Southern Mixing Bowl to South of Northern Mixing Bowl,NewJerseyTurnpikeEasternSpur NB from North of Southern Mixing Bowl to South of Northern Mixing Bowl,
1012,Incident on GeorgeWashingtonBridge WB at New York Side/Lower Level,,,GeorgeWashingtonBridge WB at New York Side/Lower Level,New York Side/Lower Level,,Updated
1013,Construction on PortNewarkElizabethMarineTerminal,,PortNewarkElizabethMarineTerminal,Construction on PortNewarkElizabethMarineTerminal,Construction on PortNewarkElizabethMarineTerminal,,Cleared
1014,Construction on PortNewarkElizabethMarineTerminal,,PortNewarkElizabethMarineTerminal,Construction on PortNewarkElizabethMarineTerminal,Construction on PortNewarkElizabethMarineTerminal,,Updated
1015,Incident on GeorgeWashingtonBridge WB at New York Side/Lower Level,,,GeorgeWashingtonBridge WB at New York Side/Lower Level,New York Side/Lower Level,,
1016,Construction on GeorgeWashingtonBridge WB at Lower Trans Manhattan Expressway,,Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,,
1017,Closure on QueensboroBridge EB at Queens Bound,,,QueensboroBridge EB at Queens Bound,QueensboroBridge EB at Queens Bound,QueensboroBridge EB at Queens Bound,Updated
1018,Closure on QueensboroBridge EB at Queens Bound,,,Closure on QueensboroBridge EB at Queens Bound,Closure on QueensboroBridge EB at Queens Bound,QueensboroBridge EB at Queens Bound,
1019,Incident on GeorgeWashingtonBridge EB at New York Side/Lower Level,,,GeorgeWashingtonBridge EB at New York Side/Lower Level,GeorgeWashingtonBridge EB at New York Side/Lower Level,,Cleared
1020,Incident on LincolnTunnel EB at Mid-Tunnel - South Tube,,,LincolnTunnel EB at Mid-Tunnel - South Tube,Mid-Tunnel - South Tube,,
1021,Special Event on MadisonSquareGarden,,,at the Arena,at the Arena,,
1022,Construction on BabylonBranch EB at Atlantic Terminal,,BabylonBranch EB at Atlantic Terminal,,Construction on BabylonBranch EB at Atlantic Terminal,,Cleared
1023,Construction on BabylonBranch EB at Atlantic Terminal,,BabylonBranch EB at Atlantic Terminal,Atlantic Terminal,Atlantic Terminal,,
1024,Incident on PulaskiSkyway NB at Tonnelle Circle,,,Tonnelle Circle,Tonnelle Circle,,Updated
1025,Incident on LincolnTunnel EB,,,LincolnTunnel EB at from New Jersey,New Jersey,,Updated
1026,Cleared: Incident on DLine BothDir/BothDir,,,DLine BothDir/BothDir,DLine BothDir/BothDir,,
1027,Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level,,,GeorgeWashingtonBridge WB at New York Side/Upper Level,GeorgeWashingtonBridge WB at New York Side/Upper Level,,Cleared
1028,Incident on GeorgeWashingtonBridge WB at New York Side/Lower Level,,,GeorgeWashingtonBridge WB,GeorgeWashingtonBridge WB at New York Side/Lower Level,,Cleared
1029,Incident on LincolnTunnel EB,,,LincolnTunnel EB,LincolnTunnel EB,,
1030,Incident on PulaskiSkyway NB at Tonnelle Circle,,,Tonnelle Circle,Tonnelle Circle,,
1031,Construction on MorrisParkAvenue Both directions from East Tremont Avenue to Van Buren Street,,MorrisParkAvenue,,MorrisParkAvenue Both directions from East Tremont Avenue to Van Buren Street,,Updated
1032,Construction,,MorrisParkAvenue,Construction on MorrisParkAvenue,MorrisParkAvenue,,
1033,Incident on RFKTriboroughBridge WB,,,Manhattan Bound,Manhattan Bound,,
1034,Closure on NewtownStreet from Manhattan Avenue to Graham Avenue,NewtownStreet from Manhattan Avenue to Graham Avenue,,Closure on NewtownStreet,Closure on NewtownStreet,NewtownStreet from Manhattan Avenue to Graham Avenue,
1035,Special Event,,,Brooklyn Bound,Brooklyn Bound,,
1036,Cleared: Incident on SprainBrookStateParkway NB at Bradhurst Avenue; Ramp,,,SprainBrookStateParkway NB at Bradhurst Avenue,SprainBrookStateParkway NB at Bradhurst Avenue,,Cleared
1037,Construction on BentleyAvenue WB from Bergen Avenue to John F Kennedy Boulevard,,BentleyAvenue WB from Bergen Avenue to John F Kennedy Boulevard,Construction on BentleyAvenue WB,Construction on BentleyAvenue WB from Bergen Avenue to John F Kennedy Boulevard,,Cleared
1038,,,PortJersey,,,,Cleared
1039,Construction,,WashingtonStreet from Sparing Street to West Houston Street,Construction on WashingtonStreet,WashingtonStreet,,
1040,Incident on SprainBrookStateParkway NB,,Bradhurst Avenue,SprainBrookStateParkway NB at Bradhurst Avenue,SprainBrookStateParkway NB at Bradhurst Avenue,,
1041,Incident on SprainBrookStateParkway NB,,Bradhurst Avenue,SprainBrookStateParkway NB at Bradhurst Avenue,SprainBrookStateParkway NB at Bradhurst Avenue,,
1042,Construction on MorrisParkAvenue Both directions from East Tremont Avenue to Van Buren Street,,MorrisParkAvenue,,MorrisParkAvenue Both directions from East Tremont Avenue to Van Buren Street,,Updated
1043,Construction on WestStreetArterial NB at Shonnard Street Extension,,Shonnard Street Extension,Construction on WestStreetArterial NB at Shonnard Street Extension,Shonnard Street Extension,,Updated
1044,Closure on NewJerseyTurnpikeEasternSpur NB from North of Southern Mixing Bowl to South of Northern Mixing Bowl,,,Closure on NewJerseyTurnpikeEasternSpur NB,Closure on NewJerseyTurnpikeEasternSpur NB from North of Southern Mixing Bowl to South of Northern Mixing Bowl,NewJerseyTurnpikeEasternSpur NB from North of Southern Mixing Bowl to South of Northern Mixing Bowl,
1045,Incident on GeorgeWashingtonBridge EB at New York Side/Lower Level,,,GeorgeWashingtonBridge EB at New York Side/Lower Level,GeorgeWashingtonBridge EB at New York Side/Lower Level,,
1046,,,,,NewJerseyTurnpikeEasternSpur NB from North of Southern Mixing Bowl to Northern Mixing Bowl,NewJerseyTurnpikeEasternSpur NB,
1047,Closure on NewJerseyTurnpikeEasternSpur NB from North of Southern Mixing Bowl to Northern Mixing Bowl,,,Closure on NewJerseyTurnpikeEasternSpur NB from North of Southern Mixing Bowl to Northern Mixing Bowl,Closure on NewJerseyTurnpikeEasternSpur NB from North of Southern Mixing Bowl to Northern Mixing Bowl,NewJerseyTurnpikeEasternSpur NB from North of Southern Mixing Bowl to Northern Mixing Bowl,
1048,Special Event on VerrazanonarrowsBridge WB,,,Staten Island Bound Upper Level,Staten Island Bound Upper Level,,Cleared
1049,Closure on JeffersonStreet,,,Closure on JeffersonStreet,Closure on JeffersonStreet,JeffersonStreet,Cleared
1050,Construction on BergenAvenue Both directions at Bentley Avenue,,BergenAvenue Both directions at Bentley Avenue,Construction on BergenAvenue Both directions at Bentley Avenue,Construction on BergenAvenue Both directions at Bentley Avenue,,Cleared
1051,Construction on HudsonTerrace NB from Bruce Reynolds Boulevard to Merkle Street,,HudsonTerrace NB from Bruce Reynolds Boulevard to Merkle Street,,HudsonTerrace NB from Bruce Reynolds Boulevard to Merkle Street,,Updated
1052,,,MidHudsonBridge EB,,,,Cleared
1053,Construction on NewburghBeaconBridge WB from Dutchess County Side to Orange County Side,,NewburghBeaconBridge WB from Dutchess County Side to Orange County Side,,NewburghBeaconBridge WB from Dutchess County Side to Orange County Side,,Cleared
1054,Construction on GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower Level,,GeorgeWashingtonBridge WB,,Construction on GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower Level,,Cleared
1055,Construction on GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to Henry Hudson Parkway,,GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to Henry Hudson Parkway,Construction on GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to Henry Hudson Parkway,Construction on GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to Henry Hudson Parkway,,Cleared
1056,Construction on GeorgeWashingtonBridge WB from New York Side/Upper Level to New Jersey Side/Upper Level,,GeorgeWashingtonBridge WB,,GeorgeWashingtonBridge WB,,Cleared
1057,Construction on GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to Henry Hudson Parkway,,GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to Henry Hudson Parkway,,Lower Trans Manhattan Expressway to Henry Hudson Parkway,,Updated
1058,Construction on GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower,,GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower,,Lower Trans Manhattan Expressway,,Updated
1059,Closure on DanfordStreet from Hemlock Street to Crescent Street,DanfordStreet from Hemlock Street to Crescent Street,,Closure on DanfordStreet from Hemlock Street to Crescent Street,Closure on DanfordStreet from Hemlock Street to Crescent Street,DanfordStreet from Hemlock Street to Crescent Street,Updated
1060,Construction on DanfordStreet,,DanfordStreet,Construction on DanfordStreet,DanfordStreet,,
1061,Incident on GeorgeWashingtonBridge WB at New York Side/Lower Level,,,GeorgeWashingtonBridge WB at New York Side/Lower Level,New York Side/Lower Level,,Updated
1062,Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level,,,GeorgeWashingtonBridge WB at New York Side/Upper Level,New York Side/Upper Level,,Updated
1063,Closure on KielyPlace from Hemlock Street to Crescent Street,Hemlock Street to Crescent Street,,Closure on KielyPlace from Hemlock Street to Crescent Street,Closure on KielyPlace from Hemlock Street to Crescent Street,from Hemlock Street to Crescent Street,Updated
1064,Construction on KielyPlace from Hemlock Street to Crescent Street,,KielyPlace from Hemlock Street to Crescent Street,,KielyPlace from Hemlock Street to Crescent Street,,
1065,Closure on AdlerPlace from Hemlock Street to Crescent Street,AdlerPlace,,AdlerPlace,AdlerPlace,AdlerPlace from Hemlock Street to Crescent Street,Updated
1066,Construction,,AdlerPlace from Hemlock Street to Crescent Street,Construction on AdlerPlace,AdlerPlace,,
1067,Special Event on WaltWhitmanBridge WB,,from New Jersey Side to Pennsylvania Side,WaltWhitmanBridge WB,WaltWhitmanBridge WB,,Cleared
1068,Construction on GeorgeWashingtonBridge WB at New Jersey Side/Lower Level,,GeorgeWashingtonBridge WB,,GeorgeWashingtonBridge WB,,Cleared
